eta,beta_a,beta_s
0.090734529524774,0.578133698666865,0.308251807666161
0.16411199135069,0.666762411952217,0.437609467582674
0.190888700426409,0.705007122031391,0.469629609922437
0.230834152632531,0.777789705656412,0.523838924508333
0.047673097064223,0.323743963188012,0.339274531108867
0.161889029264834,0.58089224209655,0.471425995388186
0.182269668948981,0.591906096840821,0.519005263347053
0.221016088215996,0.714233718884117,0.527655436015429
0.204112510591418,0.80991121125954,0.455647685412411
0.247157811905808,0.980648304990469,0.452196683749339
0.184045784968893,0.805175940288135,0.397542880922873
0.103894766559108,0.359888752673708,0.460111072562397
0.186489190097882,0.729996426602982,0.441003682290229
0.171371920383811,0.771667723942209,0.38610861691441
0.09075511144383,0.257006973880695,0.486614284315427
0.171621018516874,0.801566658433547,0.372694429367074
0.161264648405211,0.513441849506196,0.530827016012804
0.137816268629998,0.105820955446246,0.694683867707156
0.183716949571754,0.400364100986797,0.618832129282205
0.219748086284904,0.940419780323566,0.419938226133564
0.163941127360799,0.381858840136586,0.582444877844083
0.137152778482733,0.379164119667289,0.533499733548851
0.138451748613173,0.214264914110798,0.639692130790414
0.104771859572812,0.09459676334204,0.639399615617287
0.104771859572812,0.09459676334204,0.639399615617287
0.140937237088667,0.582317291890799,0.415398016224574
0.166988733958219,0.677795535149416,0.433817627324761
0.154869747098208,0.714615447211395,0.380384538897814
0.153871218866439,0.636126756829379,0.415576116357227
0.169023998410249,0.642594753849733,0.446293020699505
0.169023998410249,0.642594753849733,0.446293020699505
0.137655968262834,0.139329487531836,0.693743300737713
0.131717674584442,0.228661329032893,0.613631241489612
0.136796338736409,0.115745952934043,0.693427107565064
0.147496688092002,0.165894594856825,0.6880590704262
0.206874902786474,0.593555789167896,0.583556438401121
0.073441247371222,0.730876531905201,0.23848983772301
0.155510458909555,0.522168923554434,0.49781994753241
0.164670424120288,0.841928227142961,0.337591551173542
0.19316020619215,0.683572447699848,0.488683516469244
0.192752882552415,0.711555455875385,0.461653234821014
0.114010019522746,0.631549877791679,0.330743733420132
0.220685053778463,0.604855946397495,0.599109910785317
0.141688381358996,0.622727661112317,0.3940942933019
0.133410033752696,0.733183952966055,0.334824681888713
0.180811212201014,0.596902950120172,0.51692372701721
0.171006008687363,0.695079291063253,0.423127120771236
0.146607244539864,0.756061619994785,0.339039366337187
0.151119452882773,0.619595746580075,0.403412343957425
0.208841788296872,0.967413014363764,0.358752729924772
0.120598864506848,0.321544428543233,0.51818691977924
0.131795959988399,0.64297613565642,0.358850766118041
0.123653537955973,0.447339666388692,0.444427759093531
0.206434609867556,0.902674893782093,0.404691676356941
0.166063613644577,0.668880805760297,0.423927721552463
0.178612995079793,0.817232009590331,0.375521610360085
0.092519017753381,0.346789045396132,0.437415339446451
0.115898440037204,0.344656247788956,0.488404447083345
0.108872640209063,0.137947585831763,0.600002435447167
0.10599006113872,0.321162942671606,0.487029466053498
0.105433022848946,0.280414643761134,0.498526380994628
0.172093208633596,0.560157270177696,0.515995830731029
0.152386503989122,0.317919624880897,0.598056560093408
0.154625945630107,0.265800155102552,0.654254160733234
